MGO1,MGS1,MGO2,MGS2,MGO3,MGS3,MGO4,MGS4,MGO5,MGS5,MGO6,MGS6,MGO7,MGS7,MGO8,MGS8,MGO9,MGS9,MGO10,MGS10,MGO11,MGS11,MGO12,MGS12,MGO13,MGS13,MGO14,MGS14,MGO15,MGS15,MGO16,MGS16,MGO17,MGS17,AttCheck,Age,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Rel,Eng,Emp_status,Income,Education,Gender,pol_party_1,pol_party_2,pol_party_3,pol_party_4,pol_soc,pol_econ,Condition,subj,Other1Self0,Public1Priv0,MoralGood1,MoralGood2,MoralGood3,MoralGood4,MoralGood5,MoralGood6,MoralGood7,MoralGood8,MoralGood9,MoralGood10,MoralGood11,MoralGood12,MoralGood13,MoralGood14,MoralGood15,MoralGood16,MoralGood17,Race,PartyID,Ideology
5,,5,,6,,6,,6,,4,,7,,5,,5,,6,,6,,5,,6,,5,,4,,6,,6,,orange,44,1,,,,,,#NULL!,3,1,7,8,6,2,,1,,,2,3,OtherPublic,33,1,1,5,5,6,6,6,4,7,5,5,6,6,5,6,5,4,6,6,White,Dem,2.5
,5,,6,,5,,6,,6,,6,,6,,6,,6,,6,,6,,5,,7,,5,,5,,7,,7,orange,32,,,,1,,,#NULL!,3,1,1,8,6,1,1,,,,10,3,SelfPublic,34,0,1,5,6,5,6,6,6,6,6,6,6,6,5,7,5,5,7,7,Asian,Rep,6.5
1,,2,,7,,7,,6,,7,,7,,5,,6,,5,,5,,6,,7,,6,,6,,5,,6,,orange,35,1,,,,,,#NULL!,2,1,1,7,4,1,,,1,,4,4,OtherPublic,35,1,1,1,2,7,7,6,7,7,5,6,5,5,6,7,6,6,5,6,White,Ind,4
,6,,7,,6,,7,,6,,6,,7,,6,,7,,6,,6,,6,,6,,5,,6,,7,,6,orange,32,1,,,,,,#NULL!,4,1,7,5,4,2,1,,,,10,9,SelfPrivate,36,0,0,6,7,6,7,6,6,7,6,7,6,6,6,6,5,6,7,6,White,Rep,9.5
,4,,4,,5,,5,,6,,5,,7,,5,,4,,5,,4,,6,,5,,5,,4,,5,,5,orange,39,1,,,,,,#NULL!,1,1,1,2,5,1,,1,,,1,4,SelfPublic,37,0,1,4,4,5,5,6,5,7,5,4,5,4,6,5,5,4,5,5,White,Dem,2.5
5,,5,,6,,6,,6,,5,,6,,6,,5,,6,,5,,5,,5,,5,,4,,6,,5,,orange,38,1,,,,,,#NULL!,1,1,1,7,3,2,1,,,,8,8,OtherPublic,38,1,1,5,5,6,6,6,5,6,6,5,6,5,5,5,5,4,6,5,White,Rep,8
,6,,6,,6,,6,,7,,7,,7,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,orange,40,1,,,,,,#NULL!,3,1,2,7,3,2,,1,,,2,2,SelfPrivate,39,0,0,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6,6,6,White,Dem,2
,4,,4,,4,,6,,7,,6,,6,,6,,5,,4,,3,,7,,5,,6,,4,,5,,5,orange,40,,1,,,,,#NULL!,4,1,1,3,6,1,,1,,,1,1,SelfPublic,40,0,1,4,4,4,6,7,6,6,6,5,4,3,7,5,6,4,5,5,Black,Dem,1
,6,,6,,6,,6,,6,,7,,6,,7,,7,,6,,6,,6,,6,,6,,6,,6,,6,orange,70,,1,,,,,#NULL!,3,1,6,2,3,1,,1,,,3,3,SelfPrivate,41,0,0,6,6,6,6,6,7,6,7,7,6,6,6,6,6,6,6,6,Black,Dem,3
3,,5,,5,,5,,5,,3,,5,,4,,5,,5,,5,,5,,5,,5,,2,,2,,5,,orange,58,1,,,,,,#NULL!,2,1,1,9,5,1,,1,,,3,3,OtherPublic,42,1,1,3,5,5,5,5,3,5,4,5,5,5,5,5,5,2,2,5,White,Dem,3
3,,4,,3,,4,,4,,3,,4,,5,,2,,2,,3,,2,,4,,3,,4,,4,,4,,orange,50,1,,,,,,#NULL!,3,1,1,2,5,1,,1,,,1,1,OtherPrivate,43,1,0,3,4,3,4,4,3,4,5,2,2,3,2,4,3,4,4,4,White,Dem,1
6,,5,,4,,4,,4,,4,,5,,4,,6,,4,,4,,5,,5,,4,,3,,5,,4,,orange,37,1,,,,,,#NULL!,1,1,1,4,2,1,,1,,,3,3,OtherPublic,44,1,1,6,5,4,4,4,4,5,4,6,4,4,5,5,4,3,5,4,White,Dem,3
6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,orange,38,1,,,,,,#NULL!,1,1,8,3,2,1,,,1,,4,4,OtherPrivate,45,1,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,White,Ind,4
,7,,1,,4,,7,,7,,1,,7,,7,,4,,4,,4,,4,,4,,4,,1,,1,,7,orange,42,,1,,,,,#NULL!,1,1,1,2,2,1,,1,,,3,3,SelfPublic,46,0,1,7,1,4,7,7,1,7,7,4,4,4,4,4,4,1,1,7,Black,Dem,3
